year,month,day,hour,condition,temperature,rel_hum,wind_speed,wind_dir,pressure,precipitation
2022,1,1,0,1.0,2.3,90.0,0.2,299.0,1027.0,0.0
2022,1,1,1,1.0,2.0,88.0,2.3,268.0,1027.0,0.0
2022,1,1,2,1.0,0.2,91.0,2.0,232.0,1026.0,0.0
2022,1,1,3,1.0,-0.6,93.0,2.0,312.0,1026.0,0.0
2022,1,1,4,1.0,-0.8,94.0,1.0,303.0,1026.0,0.0
2022,1,1,5,1.0,0.2,96.0,1.8,184.0,1026.0,0.0
2022,1,1,6,1.0,1.6,97.0,1.1,244.0,1026.0,0.0
2022,1,1,7,1.0,2.1,94.0,1.5,327.0,1027.0,0.0
2022,1,1,8,1.0,1.5,90.0,1.9,220.0,1027.0,0.0
2022,1,1,9,1.0,5.4,61.0,1.2,328.0,1027.0,0.0
2022,1,1,10,1.0,8.3,42.0,2.7,310.0,1027.0,0.0
2022,1,1,11,1.0,10.3,36.0,1.8,238.0,1027.0,0.0
2022,1,1,12,1.0,12.0,34.0,0.2,306.0,1026.0,0.0
2022,1,1,13,1.0,12.5,33.0,0.0,294.0,1025.0,0.0
2022,1,1,14,1.0,13.0,31.0,0.7,299.0,1024.0,0.0
2022,1,1,15,1.0,13.6,31.0,0.7,329.0,1024.0,0.0
2022,1,1,16,1.0,12.8,32.0,2.0,229.0,1024.0,0.0
2022,1,1,17,1.0,9.7,50.0,2.6,304.0,1024.0,0.0
2022,1,1,18,1.0,5.7,65.0,3.2,241.0,1024.0,0.0
2022,1,1,19,3.0,3.5,75.0,1.7,268.0,1025.0,0.0
2022,1,1,20,1.0,2.1,85.0,1.2,235.0,1025.0,0.0
2022,1,1,21,1.0,1.3,88.0,2.0,308.0,1025.0,0.0
2022,1,1,22,1.0,0.5,89.0,1.5,224.0,1026.0,0.0
2022,1,1,23,2.0,-0.2,92.0,2.4,244.0,1026.0,0.0
2022,1,2,0,2.0,-0.7,93.0,2.8,338.0,1026.0,0.0
2022,1,2,1,2.0,-1.0,94.0,2.7,195.0,1026.0,0.0
2022,1,2,2,2.0,-1.3,95.0,1.9,147.0,1026.0,0.0
2022,1,2,3,2.0,-1.4,96.0,0.9,26.0,1026.0,0.0
2022,1,2,4,2.0,-1.6,97.0,1.2,126.0,1026.0,0.0
2022,1,2,5,2.0,-1.8,98.0,2.2,96.0,1025.0,0.0
2022,1,2,6,2.0,-2.1,97.0,1.5,256.0,1026.0,0.0
2022,1,2,7,2.0,-2.4,98.0,2.4,38.0,1026.0,0.0
2022,1,2,8,2.0,-0.8,99.0,2.2,142.0,1027.0,0.0
2022,1,2,9,2.0,4.4,98.0,0.2,35.0,1027.0,0.0
2022,1,2,10,1.0,8.9,67.0,0.2,124.0,1028.0,0.0
2022,1,2,11,1.0,11.5,49.0,0.1,134.0,1027.0,0.0
2022,1,2,12,1.0,12.4,48.0,1.8,38.0,1026.0,0.0
2022,1,2,13,1.0,12.7,45.0,0.9,43.0,1025.0,0.0
2022,1,2,14,1.0,13.1,38.0,3.2,44.0,1024.0,0.0
2022,1,2,15,1.0,12.9,39.0,2.7,30.0,1023.0,0.0
2022,1,2,16,1.0,12.5,41.0,3.1,129.0,1023.0,0.0
2022,1,2,17,1.0,11.2,47.0,1.0,123.0,1022.0,0.0
2022,1,2,18,3.0,7.7,65.0,1.8,30.0,1022.0,0.0
2022,1,2,19,3.0,5.5,80.0,3.2,315.0,1022.0,0.0
2022,1,2,20,3.0,3.8,82.0,1.4,215.0,1023.0,0.0
2022,1,2,21,1.0,2.2,87.0,1.9,269.0,1023.0,0.0
2022,1,2,22,1.0,1.9,90.0,0.0,152.0,1023.0,0.0
2022,1,2,23,1.0,1.4,91.0,1.6,169.0,1022.0,0.0
2022,1,3,0,1.0,0.5,93.0,1.8,174.0,1023.0,0.0
2022,1,3,1,2.0,-0.1,94.0,0.3,31.0,1022.0,0.0
2022,1,3,2,2.0,-0.7,95.0,2.2,327.0,1022.0,0.0
2022,1,3,3,2.0,-0.9,96.0,0.4,111.0,1021.0,0.0
2022,1,3,4,2.0,-1.0,97.0,0.6,94.0,1021.0,0.0
2022,1,3,5,2.0,-1.2,97.0,0.4,237.0,1022.0,0.0
2022,1,3,6,2.0,-1.3,98.0,0.1,336.0,1022.0,0.0
2022,1,3,7,2.0,-1.1,98.0,0.6,326.0,1022.0,0.0
2022,1,3,8,2.0,0.8,99.0,2.5,229.0,1023.0,0.0
2022,1,3,9,2.0,5.3,91.0,0.4,125.0,1023.0,0.0
2022,1,3,10,1.0,9.6,57.0,0.7,148.0,1023.0,0.0
2022,1,3,11,1.0,12.3,44.0,2.4,126.0,1023.0,0.0
2022,1,3,12,1.0,14.1,38.0,1.5,128.0,1022.0,0.0
2022,1,3,13,1.0,14.8,36.0,0.1,28.0,1021.0,0.0
2022,1,3,14,1.0,15.5,35.0,1.7,150.0,1020.0,0.0
2022,1,3,15,1.0,15.5,33.0,0.3,115.0,1019.0,0.0
2022,1,3,16,1.0,14.9,33.0,0.1,117.0,1019.0,0.0
2022,1,3,17,1.0,13.2,50.0,3.2,27.0,1019.0,0.0
2022,1,3,18,3.0,10.2,59.0,2.9,25.0,1019.0,0.0
2022,1,3,19,3.0,10.5,62.0,1.2,27.0,1020.0,0.0
2022,1,3,20,3.0,10.5,62.0,1.5,59.0,1020.0,0.0
2022,1,3,21,3.0,10.4,63.0,2.1,64.0,1020.0,0.0
2022,1,3,22,1.0,9.9,83.0,0.3,36.0,1021.0,0.0
2022,1,3,23,1.0,9.4,92.0,1.0,325.0,1021.0,0.3
2022,1,4,0,0.0,9.3,85.0,1.0,129.0,1021.0,0.0
2022,1,4,1,1.0,9.2,89.0,0.6,41.0,1021.0,0.0
2022,1,4,2,0.0,9.2,89.0,0.4,117.0,1021.0,0.0
2022,1,4,3,1.0,10.0,68.0,0.1,23.0,1021.0,0.0
2022,1,4,4,1.0,9.7,64.0,2.3,152.0,1020.0,0.0
2022,1,4,5,1.0,10.0,59.0,3.1,24.0,1021.0,0.0
2022,1,4,6,1.0,9.8,60.0,0.7,51.0,1021.0,0.0
2022,1,4,7,1.0,9.2,70.0,1.4,63.0,1021.0,0.0
2022,1,4,8,1.0,10.0,60.0,3.4,49.0,1020.0,0.0
2022,1,4,9,1.0,10.5,58.0,2.0,39.0,1021.0,0.0
2022,1,4,10,1.0,10.8,57.0,2.7,36.0,1021.0,0.0
2022,1,4,11,1.0,10.5,57.0,0.4,37.0,1020.0,0.0
2022,1,4,12,1.0,9.5,75.0,2.8,49.0,1020.0,0.0
2022,1,4,13,1.0,9.1,77.0,1.2,320.0,1019.0,0.0
2022,1,4,14,1.0,8.8,81.0,0.9,61.0,1018.0,0.0
2022,1,4,15,1.0,7.8,89.0,0.7,311.0,1018.0,0.3
2022,1,4,16,1.0,6.9,95.0,3.0,52.0,1018.0,1.3
2022,1,4,17,0.0,6.6,94.0,0.5,66.0,1019.0,0.2
2022,1,4,18,1.0,6.3,96.0,1.9,24.0,1019.0,0.4
2022,1,4,19,0.0,6.1,97.0,3.4,51.0,1020.0,0.9
2022,1,4,20,0.0,6.0,97.0,2.6,31.0,1019.0,0.5
2022,1,4,21,2.0,5.7,97.0,1.1,61.0,1020.0,0.7
2022,1,4,22,0.0,5.9,98.0,0.4,29.0,1020.0,0.9
2022,1,4,23,0.0,5.9,99.0,1.4,294.0,1020.0,1.3
2022,1,5,0,0.0,5.7,98.0,0.1,40.0,1019.0,1.4
2022,1,5,1,0.0,5.6,98.0,1.1,311.0,1020.0,1.6
2022,1,5,2,0.0,5.3,98.0,1.9,322.0,1019.0,4.2
2022,1,5,3,0.0,5.1,98.0,0.2,312.0,1020.0,3.2
2022,1,5,4,0.0,5.0,98.0,0.0,297.0,1019.0,2.9
2022,1,5,5,1.0,4.5,97.0,2.6,312.0,1020.0,0.1
2022,1,5,6,1.0,4.0,94.0,3.1,329.0,1021.0,0.0
2022,1,5,7,1.0,3.9,93.0,1.5,316.0,1021.0,0.0
2022,1,5,8,1.0,3.8,91.0,4.4,296.0,1022.0,0.0
2022,1,5,9,1.0,4.0,92.0,5.4,334.0,1022.0,0.0
2022,1,5,10,1.0,4.6,90.0,0.3,308.0,1023.0,0.0
2022,1,5,11,1.0,5.0,86.0,4.5,293.0,1024.0,0.0
2022,1,5,12,1.0,5.5,83.0,5.1,316.0,1024.0,0.0
2022,1,5,13,1.0,5.5,84.0,4.9,316.0,1023.0,0.0
2022,1,5,14,1.0,6.1,81.0,4.6,335.0,1022.0,0.0
2022,1,5,15,1.0,5.9,81.0,5.4,50.0,1022.0,0.0
2022,1,5,16,1.0,5.6,81.0,3.5,293.0,1023.0,0.0
2022,1,5,17,1.0,5.4,83.0,0.1,46.0,1024.0,0.0
2022,1,5,18,1.0,5.2,85.0,3.1,39.0,1025.0,0.0
2022,1,5,19,1.0,5.1,83.0,4.7,25.0,1025.0,0.0
2022,1,5,20,1.0,4.8,86.0,2.6,65.0,1025.0,0.0
2022,1,5,21,1.0,4.7,84.0,0.0,13.0,1026.0,0.0
2022,1,5,22,1.0,4.8,83.0,2.3,34.0,1027.0,0.0
