year,month,day,hour,condition,temperature,rel_hum,wind_speed,wind_dir,pressure,precipitation
2022,1,1,0,1,2.3,90,0.2,299,1027.0,0.0
2022,1,1,1,1,2.0,88,2.3,268,1027.0,0.0
2022,1,1,2,1,0.2,91,2.0,232,1026.0,0.0
2022,1,1,3,1,-0.6,93,2.0,312,1026.0,0.0
2022,1,1,4,1,-0.8,94,1.0,303,1026.0,0.0
2022,1,1,5,1,0.2,96,1.8,184,1026.0,0.0
2022,1,1,6,1,1.6,97,1.1,244,1026.0,0.0
2022,1,1,7,1,2.1,94,1.5,327,1027.0,0.0
2022,1,1,8,1,1.5,90,1.9,220,1027.0,0.0
2022,1,1,9,1,5.4,61,1.2,328,1027.0,0.0
2022,1,1,10,1,8.3,42,2.7,310,1027.0,0.0
2022,1,1,11,1,10.3,36,1.8,238,1027.0,0.0
2022,1,1,12,1,12.0,34,0.2,306,1026.0,0.0
2022,1,1,13,1,12.5,33,0.0,294,1025.0,0.0
2022,1,1,14,1,13.0,31,0.7,299,1024.0,0.0
2022,1,1,15,1,13.6,31,0.7,329,1024.0,0.0
2022,1,1,16,1,12.8,32,2.0,229,1024.0,0.0
2022,1,1,17,1,9.7,50,2.6,304,1024.0,0.0
2022,1,1,18,1,5.7,65,3.2,241,1024.0,0.0
2022,1,1,19,3,3.5,75,1.7,268,1025.0,0.0
2022,1,1,20,1,2.1,85,1.2,235,1025.0,0.0
2022,1,1,21,1,1.3,88,2.0,308,1025.0,0.0
2022,1,1,22,1,0.5,89,1.5,224,1026.0,0.0
2022,1,1,23,2,-0.2,92,2.4,244,1026.0,0.0
2022,1,2,0,2,-0.7,93,2.8,338,1026.0,0.0
2022,1,2,1,2,-1.0,94,2.7,195,1026.0,0.0
2022,1,2,2,2,-1.3,95,1.9,147,1026.0,0.0
2022,1,2,3,2,-1.4,96,0.9,26,1026.0,0.0
2022,1,2,4,2,-1.6,97,1.2,126,1026.0,0.0
2022,1,2,5,2,-1.8,98,2.2,96,1025.0,0.0
2022,1,2,6,2,-2.1,97,1.5,256,1026.0,0.0
2022,1,2,7,2,-2.4,98,2.4,38,1026.0,0.0
2022,1,2,8,2,-0.8,99,2.2,142,1027.0,0.0
2022,1,2,9,2,4.4,98,0.2,35,1027.0,0.0
2022,1,2,10,1,8.9,67,0.2,124,1028.0,0.0
2022,1,2,11,1,11.5,49,0.1,134,1027.0,0.0
2022,1,2,12,1,12.4,48,1.8,38,1026.0,0.0
2022,1,2,13,1,12.7,45,0.9,43,1025.0,0.0
2022,1,2,14,1,13.1,38,3.2,44,1024.0,0.0
2022,1,2,15,1,12.9,39,2.7,30,1023.0,0.0
2022,1,2,16,1,12.5,41,3.1,129,1023.0,0.0
2022,1,2,17,1,11.2,47,1.0,123,1022.0,0.0
2022,1,2,18,3,7.7,65,1.8,30,1022.0,0.0
2022,1,2,19,3,5.5,80,3.2,315,1022.0,0.0
2022,1,2,20,3,3.8,82,1.4,215,1023.0,0.0
2022,1,2,21,1,2.2,87,1.9,269,1023.0,0.0
2022,1,2,22,1,1.9,90,0.0,152,1023.0,0.0
2022,1,2,23,1,1.4,91,1.6,169,1022.0,0.0
2022,1,3,0,1,0.5,93,1.8,174,1023.0,0.0
2022,1,3,1,2,-0.1,94,0.3,31,1022.0,0.0
2022,1,3,2,2,-0.7,95,2.2,327,1022.0,0.0
2022,1,3,3,2,-0.9,96,0.4,111,1021.0,0.0
2022,1,3,4,2,-1.0,97,0.6,94,1021.0,0.0
2022,1,3,5,2,-1.2,97,0.4,237,1022.0,0.0
2022,1,3,6,2,-1.3,98,0.1,336,1022.0,0.0
2022,1,3,7,2,-1.1,98,0.6,326,1022.0,0.0
2022,1,3,8,2,0.8,99,2.5,229,1023.0,0.0
2022,1,3,9,2,5.3,91,0.4,125,1023.0,0.0
2022,1,3,10,1,9.6,57,0.7,148,1023.0,0.0
2022,1,3,11,1,12.3,44,2.4,126,1023.0,0.0
2022,1,3,12,1,14.1,38,1.5,128,1022.0,0.0
2022,1,3,13,1,14.8,36,0.1,28,1021.0,0.0
2022,1,3,14,1,15.5,35,1.7,150,1020.0,0.0
2022,1,3,15,1,15.5,33,0.3,115,1019.0,0.0
2022,1,3,16,1,14.9,33,0.1,117,1019.0,0.0
2022,1,3,17,1,13.2,50,3.2,27,1019.0,0.0
2022,1,3,18,3,10.2,59,2.9,25,1019.0,0.0
2022,1,3,19,3,10.5,62,1.2,27,1020.0,0.0
2022,1,3,20,3,10.5,62,1.5,59,1020.0,0.0
2022,1,3,21,3,10.4,63,2.1,64,1020.0,0.0
2022,1,3,22,1,9.9,83,0.3,36,1021.0,0.0
2022,1,3,23,1,9.4,92,1.0,325,1021.0,0.3
2022,1,4,0,0,9.3,85,1.0,129,1021.0,0.0
2022,1,4,1,1,9.2,89,0.6,41,1021.0,0.0
2022,1,4,2,0,9.2,89,0.4,117,1021.0,0.0
2022,1,4,3,1,10.0,68,0.1,23,1021.0,0.0
2022,1,4,4,1,9.7,64,2.3,152,1020.0,0.0
2022,1,4,5,1,10.0,59,3.1,24,1021.0,0.0
2022,1,4,6,1,9.8,60,0.7,51,1021.0,0.0
2022,1,4,7,1,9.2,70,1.4,63,1021.0,0.0
2022,1,4,8,1,10.0,60,3.4,49,1020.0,0.0
2022,1,4,9,1,10.5,58,2.0,39,1021.0,0.0
