month,day,time,temperature,rel_hum,pressure,wind_dir,wind_speed,precipitation,conditions
1,31,21,7.1,0.98,1022.2,2,4.3,9.8,2
1,31,18,7.0,0.98,1022.6,1,4.7,9.8,1
1,31,15,6.9,0.97,1023.2,2,0.0,8.9,1
1,31,12,7.4,0.97,1022.8,2,0.4,4.3,1
1,31,9,8.0,0.93,1022.6,2,0.7,3.5,1
1,31,6,8.6,0.88,1022.3,6,1.8,1.5,1
1,31,3,8.1,0.86,1025.1,7,1.4,1.1,1
1,31,0,5.5,0.98,1024.7,2,3.2,0.0,2
1,30,21,2.5,0.96,1023.3,2,0.0,0.0,2
1,30,18,6.3,0.9,1024.2,2,0.0,0.0,2
1,30,15,8.0,0.76,1024.6,2,0.0,0.0,0
1,30,12,8.8,0.75,1023.9,2,0.0,0.0,0
1,30,9,11.3,0.52,1023.0,2,0.0,0.0,0
1,30,6,11.8,0.49,1023.5,4,1.4,0.0,0
1,30,3,9.6,0.6,1025.8,2,1.4,0.0,0
1,30,0,6.4,0.82,1025.0,2,0.0,0.0,0
1,29,21,6.5,0.84,1023.5,2,0.0,0.0,2
1,29,18,6.6,0.82,1024.5,2,0.0,0.0,2
1,29,15,7.0,0.84,1024.6,3,2.5,0.0,2
1,29,12,7.4,0.73,1023.8,2,0.0,0.0,0
1,29,9,13.1,0.34,1023.7,4,4.7,0.0,0
1,29,6,13.7,0.29,1025.1,6,7.9,0.0,0
1,29,3,9.7,0.48,1028.5,4,9.0,0.0,0
1,29,0,-1.4,0.98,1028.6,2,0.7,0.0,2
1,28,21,-1.6,0.98,1028.6,2,0.0,0.0,1
1,28,18,-0.3,0.97,1029.8,2,0.0,0.0,2
1,28,15,0.9,0.95,1030.6,2,0.0,0.0,2
1,28,12,3.5,0.87,1030.3,2,0.0,0.0,2
1,28,9,11.3,0.41,1029.7,5,5.0,0.2,0
1,28,6,10.9,0.51,1031.1,3,9.4,0.5,0
1,28,3,4.7,0.99,1032.7,6,4.0,0.5,2
1,28,0,2.5,0.99,1030.7,2,0.7,1.1,2
1,27,21,3.0,0.99,1028.2,2,0.4,1.1,2
1,27,18,3.8,0.99,1028.8,1,3.2,1.1,1
1,27,15,3.5,0.97,1027.3,8,3.2,1.1,1
1,27,12,6.2,0.97,1024.9,1,1.1,1.1,2
1,27,9,6.7,0.96,1022.7,2,6.5,0.9,1
1,27,6,7.3,0.94,1022.2,2,4.7,0.6,1
1,27,3,7.0,0.93,1024.7,3,2.2,0.6,1
1,27,0,5.8,0.92,1024.0,2,0.0,0.0,1
1,26,21,5.7,0.95,1023.4,2,0.4,0.0,2
1,26,18,5.8,0.97,1025.2,2,0.0,0.0,2
1,26,15,5.6,0.95,1025.9,2,0.0,0.0,2
1,26,12,6.0,0.91,1024.9,2,0.0,0.0,2
1,26,9,8.8,0.7,1024.4,8,1.4,0.0,0
1,26,6,8.8,0.72,1025.1,1,6.8,0.4,0
1,26,3,5.2,0.96,1028.0,1,6.5,2.7,2
1,26,0,3.6,0.98,1027.2,1,5.4,2.8,2
1,25,21,2.3,0.96,1025.6,2,0.4,4.9,2
1,25,18,4.6,0.93,1026.1,8,2.5,6.3,2
1,25,15,4.9,0.9,1026.5,1,2.9,7.5,2
1,25,12,4.8,0.88,1025.1,2,3.2,7.8,2
1,25,9,5.1,0.89,1024.6,2,9.4,8.9,2
1,25,6,5.1,0.93,1024.2,2,14.4,12.0,1
1,25,3,5.7,0.93,1025.3,2,13.3,6.2,1
1,25,0,5.8,0.97,1023.6,2,9.0,6.1,1
1,24,21,6.7,0.97,1022.2,2,9.4,4.0,1
1,24,18,7.1,0.97,1021.6,2,5.4,2.6,1
1,24,15,7.3,0.93,1020.9,3,10.4,1.4,1
1,24,9,9.4,0.79,1018.2,4,10.1,0.0,1
1,24,6,9.9,0.72,1019.0,4,9.4,0.0,0
1,24,3,9.8,0.7,1021.8,5,15.5,0.0,0
1,24,0,8.0,0.81,1020.9,4,15.1,0.0,0
1,23,21,8.0,0.82,1020.2,4,7.2,0.0,2
1,23,18,7.5,0.89,1021.6,4,10.1,0.0,2
1,23,15,5.5,0.94,1022.0,3,5.4,0.0,2
1,23,12,5.5,0.9,1022.3,2,0.0,0.0,2
1,23,9,9.3,0.76,1020.8,3,9.0,0.0,0
1,23,3,7.5,0.89,1022.7,1,3.2,0.0,2
1,23,0,5.0,0.96,1020.9,3,1.8,0.0,2
1,22,21,5.4,0.95,1020.1,1,1.1,0.9,2
1,22,18,6.6,0.95,1020.4,2,6.8,1.7,2
1,22,15,7.2,0.94,1020.5,2,1.8,1.7,1
1,22,9,8.9,0.82,1018.5,2,2.5,1.7,2
1,22,6,9.2,0.8,1018.4,2,4.3,2.3,2
1,22,3,8.5,0.9,1021.4,2,0.4,2.3,2
1,22,0,7.1,0.97,1021.4,2,0.4,2.3,2
1,21,21,7.3,0.95,1019.9,2,0.7,1.4,1
1,21,18,7.6,0.91,1021.0,8,1.4,0.8,2
1,21,15,7.8,0.89,1020.9,2,0.4,0.8,2
1,21,12,7.9,0.88,1021.0,2,0.4,0.8,2
1,21,9,8.4,0.85,1020.2,2,0.0,0.8,1
1,21,6,8.4,0.84,1019.9,1,5.0,1.1,1
1,21,3,8.3,0.74,1021.8,2,0.0,1.8,1
1,21,0,7.1,0.83,1020.6,2,6.8,1.8,2
1,20,21,7.0,0.93,1019.8,2,0.0,1.8,1
1,20,18,7.4,0.87,1020.3,2,0.0,1.6,1
1,20,15,7.6,0.88,1020.7,2,0.0,1.6,2
1,20,12,7.8,0.92,1020.1,3,2.2,1.6,2
1,20,9,8.9,0.89,1019.6,4,1.8,1.6,1
1,20,6,9.4,0.83,1020.1,2,0.0,0.7,1
1,20,3,9.0,0.64,1021.4,2,0.0,0.0,1
1,20,0,5.6,0.78,1020.2,2,0.0,0.0,0
1,19,21,3.5,0.83,1019.4,2,0.0,0.0,2
1,19,18,1.3,0.85,1020.0,2,0.0,0.0,0
1,19,15,5.4,0.65,1019.8,4,7.2,0.0,0
1,19,12,4.0,0.7,1019.9,2,0.0,0.0,0
1,19,9,13.9,0.28,1019.7,5,6.1,0.0,0
1,19,6,14.4,0.28,1020.6,5,6.5,0.0,0
1,19,3,11.3,0.38,1023.4,5,12.2,0.0,0
1,19,0,-1.2,0.96,1023.1,2,0.0,0.0,2
1,18,21,-1.0,0.93,1022.1,2,0.0,0.0,2
1,18,18,-1.0,0.96,1023.1,2,0.0,0.0,2
1,18,15,0.1,0.9,1023.5,2,0.0,0.0,2
1,18,12,2.9,0.81,1023.4,2,0.0,0.0,0
1,18,9,12.2,0.37,1023.5,6,10.1,0.0,0
1,18,6,13.4,0.35,1024.5,8,10.8,0.0,0
1,18,3,9.4,0.46,1028.1,6,10.4,0.0,0
1,18,0,-1.6,0.84,1027.7,5,3.2,0.0,2
1,17,21,-1.2,0.78,1027.2,5,1.1,0.0,0
1,17,18,3.9,0.51,1028.1,6,4.7,0.0,0
1,17,15,1.1,0.6,1030.1,6,1.1,0.0,0
1,17,12,5.2,0.35,1031.1,7,6.5,0.0,0
1,17,9,7.8,0.23,1031.7,7,1.8,0.0,0
1,17,6,8.3,0.22,1034.0,8,7.6,0.0,0
1,17,3,5.9,0.33,1038.9,3,14.4,0.0,0
1,17,0,-2.0,0.84,1038.4,0,0.0,0.0,2
1,16,21,2.1,0.57,1038.0,2,5.4,0.0,0
1,16,18,3.3,0.54,1037.7,2,11.9,0.0,0
1,16,15,4.9,0.46,1036.2,2,14.4,0.0,0
1,16,12,5.8,0.47,1033.3,2,21.6,0.0,3
1,16,9,8.3,0.35,1029.3,2,14.4,0.0,0
1,16,6,9.7,0.36,1027.4,2,18.7,0.0,0
1,16,3,8.1,0.4,1028.3,3,9.7,0.0,0
1,16,0,4.8,0.46,1027.3,2,7.2,0.0,3
1,15,21,5.4,0.47,1025.5,2,6.1,0.0,0
1,15,18,7.9,0.38,1024.5,2,7.2,0.0,0
1,15,15,9.7,0.29,1021.7,3,13.0,0.0,0
1,15,12,10.9,0.26,1020.6,3,14.4,0.0,0
1,15,9,15.3,0.2,1018.5,2,14.4,0.0,0
1,15,6,17.1,0.24,1017.7,2,14.4,0.0,3
1,15,3,14.7,0.33,1019.5,3,9.7,0.0,0
1,15,0,1.3,0.96,1017.8,2,0.0,0.0,2
1,14,21,1.2,0.91,1016.7,0,0.0,0.0,2
1,14,18,2.4,0.91,1015.5,2,0.4,0.0,2
1,14,15,3.8,0.84,1015.2,2,0.0,0.0,2
1,14,12,6.6,0.71,1013.8,0,0.0,0.0,3
1,14,9,18.8,0.2,1012.8,6,7.2,0.0,0
1,14,6,19.3,0.2,1013.7,7,10.8,0.0,0
1,14,3,13.8,0.37,1017.7,6,7.2,0.0,3
1,14,0,1.6,0.88,1017.7,2,0.7,0.0,2
1,13,21,6.1,0.65,1017.5,5,7.6,0.0,0
1,13,18,1.7,0.91,1018.4,0,0.0,0.0,2
1,13,15,2.1,0.89,1018.6,2,0.0,0.0,2
1,13,12,4.1,0.8,1017.4,2,0.0,0.0,0
1,13,9,14.9,0.31,1016.7,6,7.6,0.0,0
1,13,6,15.6,0.28,1017.1,6,10.4,0.0,0
1,13,3,12.7,0.31,1019.8,6,12.2,0.0,0
1,13,0,-1.0,0.86,1019.1,0,0.0,0.0,0
1,12,21,0.3,0.74,1018.5,5,1.1,0.0,0
1,12,18,5.5,0.51,1018.9,6,3.6,0.0,0
1,12,15,9.0,0.36,1019.2,7,16.9,0.0,0
1,12,12,8.6,0.46,1019.2,7,5.0,0.0,0
1,12,9,10.4,0.41,1020.0,7,13.3,0.0,0
1,12,6,11.4,0.35,1021.5,6,15.1,0.0,0
1,12,3,7.4,0.42,1025.5,6,14.4,0.0,0
1,12,0,0.6,0.68,1026.3,6,4.7,0.0,0
1,11,21,-4.1,0.84,1027.5,2,0.0,0.0,0
1,11,18,0.0,0.62,1029.2,6,1.8,0.0,0
1,11,15,-3.1,0.74,1031.9,0,0.0,0.0,0
1,11,12,-1.6,0.68,1032.1,0,0.0,0.0,3
