year,month,day,hour,is_weekday,season,condition,temperature,rel_hum,wind_speed,wind_dir,pressure,precipitation,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22
2022,1,1,0,0,1,1,2.3,90,0.2,299,1027,0,89,86,105,105,93,125,95,105,79,101,79,100,87,79,90,108,96,100,107,96,80,81
2022,1,1,1,0,1,1,2,88,2.3,268,1027,0,93,90,104,108,89,127,98,105,79,99,117,105,87,64,100,105,97,94,110,95,67,73
2022,1,1,2,0,1,1,0.2,91,2,232,1026,0,103,92,104,98,103,140,92,105,84,98,79,109,79,88,85,105,104,98,108,90,72,92
2022,1,1,3,0,1,1,-0.6,93,2,312,1026,0,122,95,105,104,100,139,95,107,88,93,58,107,87,95,89,112,104,107,104,92,72,88
2022,1,1,4,0,1,1,-0.8,94,1,303,1026,0,122,97,107,98,90,138,95,110,93,98,80,108,98,72,94,110,105,110,113,92,65,118
2022,1,1,5,0,1,1,0.2,96,1.8,184,1026,0,117,99,114,102,107,147,104,114,93,104,72,107,88,107,90,,102,119,117,103,84,130
2022,1,1,6,0,1,1,1.6,97,1.1,244,1026,0,109,99,114,98,115,147,108,115,93,110,84,109,93,112,107,,105,119,110,109,82,104
2022,1,1,7,0,1,1,2.1,94,1.5,327,1027,0,93,95,114,98,104,147,108,118,100,115,75,108,100,80,117,,112,113,104,113,82,119
2022,1,1,8,0,1,1,1.5,90,1.9,220,1027,0,88,93,115,92,112,144,110,117,98,117,63,107,95,115,104,,100,125,102,117,88,125
2022,1,1,9,0,1,1,5.4,61,1.2,328,1027,0,100,92,114,110,113,134,113,118,107,113,72,110,102,123,113,,114,113,102,114,79,97
2022,1,1,10,0,1,1,8.3,42,2.7,310,1027,0,98,90,114,113,95,132,108,118,102,110,78,112,100,79,127,,148,119,104,113,84,113
2022,1,1,11,0,1,1,10.3,36,1.8,238,1027,0,97,89,115,108,99,124,108,123,109,114,77,112,88,107,115,,138,119,113,115,94,117
2022,1,1,12,0,1,1,12,34,0.2,306,1026,0,100,92,122,113,102,129,108,137,107,133,65,124,87,120,102,130,113,110,108,123,92,82
2022,1,1,13,0,1,1,12.5,33,0,294,1025,0,82,87,123,119,80,134,98,140,100,138,80,133,97,92,95,130,113,113,110,122,83,94
2022,1,1,14,0,1,1,13,31,0.7,299,1024,0,85,90,125,123,82,147,102,142,88,135,88,137,94,113,83,133,105,122,95,130,73,82
2022,1,1,15,0,1,1,13.6,31,0.7,329,1024,0,85,92,124,123,90,148,102,140,73,133,85,140,100,125,87,128,94,117,104,122,64,68
2022,1,1,16,0,1,1,12.8,32,2,229,1024,0,70,90,123,117,77,145,98,142,72,133,84,135,108,87,78,137,112,122,92,124,72,107
2022,1,1,17,0,1,1,9.7,50,2.6,304,1024,0,80,99,125,113,79,149,98,144,79,135,79,134,97,98,63,147,115,117,89,137,73,102
2022,1,1,18,0,1,1,5.7,65,3.2,241,1024,0,87,95,129,119,88,159,89,149,84,144,77,133,99,110,72,134,90,125,104,137,78,80
2022,1,1,19,0,1,3,3.5,75,1.7,268,1025,0,95,84,140,125,89,168,137,160,100,163,65,138,100,78,82,133,108,132,114,140,102,100
2022,1,1,20,0,1,1,2.1,85,1.2,235,1025,0,125,88,162,135,103,175,190,178,104,162,104,133,99,112,102,139,133,168,168,142,128,132
